Model,Convolution,Base,Weights,Trial,Seed,Set,Noise,LI,Level,Loss,Accuracy
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Contrast,6,0.063095734,2.656695366,0.27
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Contrast,7,0.039810717,2.886524916,0.17
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Contrast,8,0.025118864,3.206988573,0.14
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Contrast,9,0.015848932,3.58469367,0.12
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Contrast,10,0.01,4.062089443,0.11
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Phase Scrambling,0,0,1135.847778,0.4
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Phase Scrambling,1,18,1533.543701,0.42
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Phase Scrambling,2,36,263.0724487,0.41
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Phase Scrambling,3,54,421.4085693,0.43
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Phase Scrambling,4,72,3.663546562,0.41
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Phase Scrambling,5,90,3.288384199,0.36
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Phase Scrambling,6,108,4.190755844,0.24
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Phase Scrambling,7,126,4.450604439,0.21
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Phase Scrambling,8,144,5.034804821,0.17
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Phase Scrambling,9,162,5.02089262,0.13
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Phase Scrambling,10,180,5.394692898,0.12
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Darken,0,0,1136.341187,0.4
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Darken,1,-0.1,791.2619629,0.39
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Darken,2,-0.2,488.5258179,0.43
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Darken,3,-0.3,235.1781006,0.42
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Darken,4,-0.4,72.24751282,0.46
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Darken,5,-0.5,11.08940506,0.44
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Darken,6,-0.6,4.814300537,0.47
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Darken,7,-0.7,3.302005291,0.47
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Darken,8,-0.8,2.409535885,0.47
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Darken,9,-0.9,2.326985359,0.35
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Darken,10,-1,6.704518318,0.1
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Brighten,0,0,1136.341187,0.4
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Brighten,1,0.1,758.5283813,0.4
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Brighten,2,0.2,417.4194946,0.41
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Brighten,3,0.3,153.9698181,0.45
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Brighten,4,0.4,31.32054901,0.45
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Brighten,5,0.5,4.265961647,0.42
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Brighten,6,0.6,2.844365835,0.44
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Brighten,7,0.7,2.427951336,0.44
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Brighten,8,0.8,2.265278101,0.41
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Brighten,9,0.9,2.362186909,0.34
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Brighten,10,1,4.15656662,0.1
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Rotation,0,0,1136.341187,0.4
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Rotation,1,90,100.1146393,0.1
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Rotation,2,180,39.53438187,0.17
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Rotation,3,270,82.85249329,0.14
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Invert,0,0,1136.341187,0.4
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Invert,1,1,7.054107189,0.4
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Uniform,0,0,33.43599319,0.31
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Uniform,1,0.1,21.88010979,0.31
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Uniform,2,0.2,14.49354935,0.41
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Uniform,3,0.3,9.750994682,0.45
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Uniform,4,0.4,8.423397064,0.43
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Uniform,5,0.5,8.141662598,0.32
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Uniform,6,0.6,9.81949234,0.25
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Uniform,7,0.7,13.11517334,0.21
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Uniform,8,0.8,17.30745316,0.14
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Uniform,9,0.9,18.88026237,0.14
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Uniform,10,1,29.26571465,0.11
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,0,0,33.43599319,0.31
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,1,0.1,32.58743286,0.13
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,2,0.2,34.04911423,0.12
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,3,0.3,46.22486496,0.11
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,4,0.4,63.31081009,0.1
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,5,0.5,69.89781952,0.11
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,6,0.6,87.82972717,0.1
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,7,0.7,89.83042908,0.1
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,8,0.8,102.9941177,0.1
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,9,0.9,99.40775299,0.11
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,10,1,100.8245773,0.1
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,High Pass,0,100,7.968660831,0.41
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,High Pass,1,63.09573445,8.115142822,0.42
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,High Pass,2,39.81071706,9.301977158,0.43
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,High Pass,3,25.11886432,10.69168568,0.46
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,High Pass,4,15.84893192,11.5233469,0.44
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,High Pass,5,10,11.16208267,0.4
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,High Pass,6,6.309573445,10.675951,0.36
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,High Pass,7,3.981071706,9.891736984,0.38
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,High Pass,8,2.511886432,8.739589691,0.38
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,High Pass,9,1.584893192,5.837204456,0.43
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,High Pass,10,1,3.879567862,0.48
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Low Pass,0,1,5.974482536,0.45
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Low Pass,1,1.584893192,3.801426888,0.53
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Low Pass,2,2.511886432,2.427422285,0.6
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Low Pass,3,3.981071706,1.477010012,0.67
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Low Pass,4,6.309573445,1.866384864,0.49
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Low Pass,5,10,4.167248726,0.13
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Low Pass,6,15.84893192,4.923615932,0.1
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Low Pass,7,25.11886432,5.424664974,0.1
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Low Pass,8,39.81071706,6.533297062,0.1
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Low Pass,9,63.09573445,6.659123421,0.1
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Low Pass,10,100,5.601739883,0.1
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Contrast,0,1,33.43599319,0.31
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Contrast,1,0.630957344,7.64936018,0.36
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Contrast,2,0.398107171,4.309400558,0.51
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Contrast,3,0.251188643,3.523452044,0.56
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Contrast,4,0.158489319,2.869504929,0.57
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Contrast,5,0.1,2.519217968,0.47
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Contrast,6,0.063095734,2.795252085,0.36
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Contrast,7,0.039810717,3.347689867,0.19
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Contrast,8,0.025118864,3.946179867,0.1
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Contrast,9,0.015848932,4.581112862,0.13
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Contrast,10,0.01,5.124479771,0.11
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Phase Scrambling,0,0,33.4360199,0.31
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Phase Scrambling,1,18,25.76158142,0.31
RIB (N=2),Gabor,VGG16,None,1,42,line_drawings,Phase Scrambling,2,36,16.58590126,0.36
