Model,Convolution,Base,Weights,Trial,Seed,Set,Noise,LI,Level,Loss,Accuracy
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Contrast,2,0.3981071705534972,4.552772045135498,0.26
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Contrast,3,0.25118864315095796,4.2966437339782715,0.27
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Contrast,4,0.15848931924611132,3.9148809909820557,0.26
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Contrast,5,0.09999999999999999,3.707629442214966,0.19
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Contrast,6,0.0630957344480193,3.954427719116211,0.14
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Contrast,7,0.03981071705534971,4.039891719818115,0.11
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Contrast,8,0.025118864315095794,4.13469934463501,0.11
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Contrast,9,0.015848931924611134,4.491342067718506,0.1
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Contrast,10,0.01,4.926158428192139,0.1
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Phase Scrambling,0,0.0,6.334518909454346,0.25
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Phase Scrambling,1,18.0,4.524008274078369,0.34
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Phase Scrambling,2,36.0,3.842421054840088,0.42
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Phase Scrambling,3,54.0,2.95357084274292,0.46
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Phase Scrambling,4,72.0,2.786644697189331,0.4
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Phase Scrambling,5,90.0,2.912296772003174,0.32
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Phase Scrambling,6,108.0,3.795222282409668,0.26
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Phase Scrambling,7,126.0,3.7065351009368896,0.2
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Phase Scrambling,8,144.0,4.180464267730713,0.08
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Phase Scrambling,9,162.0,4.736506938934326,0.09
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Phase Scrambling,10,180.0,4.694779872894287,0.12
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Darken,0,0.0,6.334518909454346,0.25
