Model,Convolution,Base,Weights,Trial,Seed,Set,Noise,LI,Level,Loss,Accuracy
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Contrast,9,0.015848932,3.926463366,0.1
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Contrast,10,0.01,4.436439037,0.1
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Phase Scrambling,0,0,8.479621887,0.21
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Phase Scrambling,1,18,7.034239292,0.29
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Phase Scrambling,2,36,5.843312263,0.32
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Phase Scrambling,3,54,4.745133877,0.37
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Phase Scrambling,4,72,3.873244047,0.36
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Phase Scrambling,5,90,3.306758642,0.38
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Phase Scrambling,6,108,3.207715511,0.33
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Phase Scrambling,7,126,3.355174065,0.28
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Phase Scrambling,8,144,3.629031658,0.14
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Phase Scrambling,9,162,4.123800755,0.13
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Phase Scrambling,10,180,4.028397083,0.12
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Darken,0,0,8.479621887,0.21
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Darken,1,-0.1,8.102851868,0.22
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Darken,2,-0.2,8.011497498,0.22
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Darken,3,-0.3,8.174912453,0.23
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Darken,4,-0.4,8.719129562,0.25
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Darken,5,-0.5,9.816337585,0.28
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Darken,6,-0.6,7.843970299,0.29
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Darken,7,-0.7,5.377164841,0.27
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Darken,8,-0.8,3.41855216,0.28
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Darken,9,-0.9,2.928656578,0.26
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Darken,10,-1,6.704518318,0.1
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Brighten,0,0,8.479621887,0.21
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Brighten,1,0.1,6.991542816,0.25
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Brighten,2,0.2,5.863754749,0.26
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Brighten,3,0.3,5.029517651,0.26
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Brighten,4,0.4,4.414416313,0.33
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Brighten,5,0.5,3.943786621,0.35
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Brighten,6,0.6,3.568949699,0.36
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Brighten,7,0.7,3.236772776,0.37
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Brighten,8,0.8,2.773143291,0.37
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Brighten,9,0.9,2.500597954,0.31
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Brighten,10,1,4.15656662,0.1
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Rotation,0,0,8.479621887,0.21
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Rotation,1,90,12.32261944,0.1
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Rotation,2,180,14.17263412,0.1
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Rotation,3,270,12.17490768,0.09
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Invert,0,0,8.479621887,0.21
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Invert,1,1,6.334518909,0.25
RIB (N=2),Gabor,VGG16,None,1,42,contours,Uniform,0,0,49.48553085,0.22
RIB (N=2),Gabor,VGG16,None,1,42,contours,Uniform,1,0.1,34.80947876,0.24
RIB (N=2),Gabor,VGG16,None,1,42,contours,Uniform,2,0.2,23.1630497,0.29
RIB (N=2),Gabor,VGG16,None,1,42,contours,Uniform,3,0.3,18.21477699,0.31
RIB (N=2),Gabor,VGG16,None,1,42,contours,Uniform,4,0.4,11.20748615,0.32
RIB (N=2),Gabor,VGG16,None,1,42,contours,Uniform,5,0.5,12.65883636,0.24
RIB (N=2),Gabor,VGG16,None,1,42,contours,Uniform,6,0.6,11.62680626,0.13
RIB (N=2),Gabor,VGG16,None,1,42,contours,Uniform,7,0.7,13.28041458,0.14
RIB (N=2),Gabor,VGG16,None,1,42,contours,Uniform,8,0.8,17.73320389,0.1
